Date,SpeedW,Lat,Lon,Speed,Edate
07/01/202111:13:02,9.8kn(s),46.70962,-53.9209,9.8,7
07/01/202111:23:52,9.7kn(s),46.7364,-53.9037,9.7,7
07/01/202111:34:55,9.7kn(s),46.76353,-53.8867,9.7,7
07/01/202111:45:43,9.5kn(s),46.79006,-53.8704,9.5,7
07/01/202111:59:53,9.4kn(s),46.82389,-53.8497,9.4,7
07/01/202112:11:31,8.6kn(s),46.8516,-53.8312,8.6,7
07/01/202112:38:32,9.9kn(s),46.91676,-53.7923,9.9,7
07/01/202112:49:12,9.3kn(s),46.94237,-53.7725,9.3,7
07/01/202113:00:33,7.4kn(s),46.96597,-53.7549,7.4,7
07/01/202113:10:53,6.7kn(s),46.98326,-53.7419,6.7,7
07/01/202113:53:34,6.4kn(s),47.05775,-53.6858,6.4,7
07/01/202116:42:59,0kn(s),47.06715,-53.6351,0,7
07/01/202119:24:48,0kn(s),47.07009,-53.6336,0,7
07/01/202120:56:50,0kn(s),47.07048,-53.6325,0,7
08/01/202110:19:00,0kn(s),47.07099,-53.6288,0,8
08/01/202119:42:55,0kn(s),47.07116,-53.6279,0,8
08/01/202121:22:11,0kn(s),47.07092,-53.6274,0,8
08/01/202122:12:34,0kn(s),47.07072,-53.6271,0,8
08/01/202122:49:14,.5kn(s),47.06923,-53.6263,0.5,8
08/01/202123:16:45,7.5kn(s),47.05938,-53.6856,7.5,8
08/01/202123:46:45,9.4kn(s),46.99119,-53.7372,9.4,8
08/01/202123:57:13,9.2kn(s),46.96703,-53.7557,9.2,8
09/01/202100:08:28,6.4kn(s),46.94653,-53.7707,6.4,9
09/01/202100:19:17,6.2kn(s),46.92956,-53.782,6.2,9
09/01/202100:30:14,6.2kn(s),46.91199,-53.7912,6.2,9
09/01/202100:40:47,5.9kn(s),46.89424,-53.7887,5.9,9
09/01/202100:55:56,6.2kn(s),46.86881,-53.7884,6.2,9
09/01/202101:06:58,6kn(s),46.84976,-53.7869,6,9
09/01/202101:18:33,6.3kn(s),46.82939,-53.7853,6.3,9
09/01/202101:29:17,6.1kn(s),46.81161,-53.7866,6.1,9
09/01/202101:40:07,5.7kn(s),46.79453,-53.7885,5.7,9
09/01/202101:50:46,5.9kn(s),46.77745,-53.791,5.9,9
09/01/202102:07:08,5.8kn(s),46.7513,-53.7926,5.8,9
09/01/202102:17:54,5.6kn(s),46.73444,-53.7926,5.6,9
09/01/202102:28:15,5.3kn(s),46.71864,-53.7926,5.3,9
09/01/202102:39:06,5kn(s),46.70227,-53.792,5,9
09/01/202102:49:58,5.5kn(s),46.68674,-53.7912,5.5,9
09/01/202103:00:16,5.4kn(s),46.67135,-53.7915,5.4,9
09/01/202103:10:24,4.9kn(s),46.65655,-53.7915,4.9,9
09/01/202103:20:55,4.8kn(s),46.64163,-53.7915,4.8,9
09/01/202103:32:03,4.7kn(s),46.62594,-53.7923,4.7,9
09/01/202103:47:15,5.3kn(s),46.60495,-53.7928,5.3,9
09/01/202104:02:52,5.7kn(s),46.58453,-53.78,5.7,9
09/01/202104:15:32,5.9kn(s),46.57096,-53.7563,5.9,9
